Time,IMU_SHIN_L_YAW,IMU_SHIN_L_PITCH,IMU_SHIN_L_ROLL,IMU_SHIN_R_YAW,IMU_SHIN_R_PITCH,IMU_SHIN_R_ROLL,
13.33,0.00,0.03,-4.73,0.00,-0.13,-1.89,
13.34,0.00,0.03,-4.73,0.00,-0.13,-1.89,
13.35,0.00,0.03,-4.73,0.00,-0.13,-1.89,
13.36,0.00,0.03,-4.73,0.00,-0.13,-1.89,
13.37,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.38,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.39,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.40,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.41,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.42,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.43,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.44,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.45,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.46,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.47,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.48,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.49,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.50,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.51,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.52,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.53,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.54,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.55,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.56,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.57,0.00,0.03,-4.73,0.00,-0.13,-1.90,
13.58,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.59,0.00,0.02,-4.73,0.00,-0.13,-1.89,
13.60,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.61,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.62,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.63,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.64,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.65,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.66,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.67,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.68,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.69,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.70,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.71,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.72,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.73,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.74,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.75,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.76,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.77,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.78,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.79,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.80,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.81,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.82,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.83,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.84,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.85,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.86,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.87,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.88,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.89,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.90,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.91,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.92,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.93,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.94,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.95,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.96,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.97,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.98,0.00,0.02,-4.73,0.00,-0.13,-1.90,
13.99,0.00,0.01,-4.72,0.00,-0.13,-1.90,
14.00,0.00,0.01,-4.72,0.00,-0.13,-1.90,
14.01,0.00,0.01,-4.72,0.00,-0.13,-1.90,
14.02,0.00,0.01,-4.72,0.00,-0.13,-1.90,
14.03,0.00,0.01,-4.72,0.00,-0.13,-1.90,
14.04,0.00,0.01,-4.72,0.00,-0.13,-1.90,
14.05,0.00,0.01,-4.72,0.00,-0.13,-1.90,
14.06,0.00,0.01,-4.72,0.00,-0.13,-1.90,
14.07,0.00,0.01,-4.72,0.00,-0.13,-1.90,
14.08,0.00,0.01,-4.72,0.00,-0.13,-1.90,
14.09,0.00,0.01,-4.72,0.00,-0.13,-1.90,
14.10,0.00,0.01,-4.72,0.00,-0.13,-1.90,
14.11,0.00,0.01,-4.72,0.00,-0.13,-1.90,
14.12,0.00,0.01,-4.72,0.00,-0.13,-1.90,
14.13,0.00,0.01,-4.72,0.00,-0.13,-1.90,
14.14,0.00,0.01,-4.72,0.00,-0.13,-1.90,
14.15,0.00,0.01,-4.72,0.00,-0.13,-1.90,
14.16,0.00,0.02,-4.72,0.00,-0.13,-1.90,
14.17,0.00,0.02,-4.72,0.00,-0.13,-1.90,
14.18,0.00,0.02,-4.72,0.00,-0.13,-1.90,
14.19,0.00,0.02,-4.72,0.00,-0.13,-1.90,
14.20,0.00,0.02,-4.72,0.00,-0.13,-1.90,
14.21,0.00,0.02,-4.72,0.00,-0.13,-1.90,
14.22,0.00,0.02,-4.72,0.00,-0.13,-1.90,
14.23,0.00,0.02,-4.72,0.00,-0.13,-1.90,
14.24,0.00,0.02,-4.72,0.00,-0.13,-1.90,
14.25,0.00,0.02,-4.72,0.00,-0.13,-1.90,
14.26,0.00,0.02,-4.72,0.00,-0.13,-1.90,
14.27,0.00,0.02,-4.72,0.00,-0.13,-1.90,
14.28,0.00,0.02,-4.72,0.00,-0.13,-1.90,
14.29,0.00,0.02,-4.72,0.00,-0.13,-1.90,
14.30,0.00,0.02,-4.72,0.00,-0.13,-1.90,
14.31,0.00,0.02,-4.72,0.00,-0.13,-1.90,
14.32,0.00,0.02,-4.72,0.00,-0.13,-1.90,
14.33,0.00,0.02,-4.72,0.00,-0.13,-1.90,
14.34,0.00,0.02,-4.72,0.00,-0.13,-1.90,
14.35,0.00,0.02,-4.72,0.00,-0.13,-1.90,
14.36,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.37,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.38,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.39,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.40,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.41,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.42,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.43,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.44,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.45,0.00,0.02,-4.71,0.00,-0.13,-1.90,
14.46,0.00,0.02,-4.71,0.00,-0.13,-1.90,
